,Unnamed: 0,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
18903,145018,145019,〔7367｜9｜7｜14〕,<H>גְּבוּלָ֔ן<h><H> <h>,1366,גבל
16326,121653,121654,〔6214｜6｜15｜11〕,<H>גְּב֖וּל<h><H> <h>,1366,גבל
16547,123846,123847,〔6355｜6｜19｜33〕,<H>גְבוּלָ֗ם<h><H> <h>,1366,גבל
6652,50771,50772,〔2653｜2｜38｜19〕,<H>חֲשֻׁקֵיהֶ֖ם<h><H> <h>,2838,חשׁק
14578,107026,107027,〔5559｜5｜25｜11〕,<H>מְבֻשָֽׁיו<h><H>׃ <h>,4016,בושׁ
53008,377206,377207,〔22050｜27｜11｜13〕,<H>רְכ֥וּשׁ<h><H> <h>,7399,רכשׁ
47272,345907,345908,〔13844｜18｜39｜9〕,<H>אֲבוּסֶֽךָ<h><H>׃ <h>,18,אבס
16473,123172,123173,〔6308｜6｜18｜14〕,<H>גְּבוּל֩<h><H> <h>,1366,גבל
53754,381075,381076,〔12183｜15｜7｜9〕,<H>יְסֻ֔ד<h><H> <h>,3246,יסד
30785,239223,239224,〔19166｜24｜8｜12〕,<H>פְּקֻדָּתָ֛ם<h><H> <h>,6486,פקד
14484,106388,106389,〔5529｜5｜24｜3〕,<H>כְּרִיתֻת֙<h><H> <h>,3748,כרת
18052,137911,137912,〔6979｜7｜16｜29〕,<H>עַמּוּדֵ֣י<h><H> <h>,5982,עמד
36873,283686,283687,〔21421｜26｜37｜23〕,<H>שִׁקּ֣וּצֵיהֶ֔ם<h><H> <h>,8251,שׁקצ
36008,278129,278130,〔21143｜26｜27｜21〕,<H>עַתּוּדִ֔ים<h><H> <h>,6260,עתד
16304,121534,121535,〔6210｜6｜15｜7〕,<H>גְּבוּל֙<h><H> <h>,1366,גבל
36076,278435,278436,〔21163｜26｜28｜5〕,<H>רְכֻלָּתְךָ֖<h><H> <h>,7404,רכל
10427,74752,74753,〔3910｜4｜7｜59〕,<H>עַתֻּדִ֣ים<h><H> <h>,6260,עתד
33907,264413,264414,〔20298｜24｜52｜21〕,<H>עַמּוּדִ֗ים<h><H> <h>,5982,עמד
27210,215553,215554,〔17854｜23｜10｜3〕,<H>פְּקֻדָּ֔ה<h><H> <h>,6486,פקד
17001,128379,128380,〔6555｜7｜2｜9〕,<H>גְב֣וּל<h><H> <h>,1366,גבל
45333,334239,334240,〔16231｜19｜137｜8〕,<H>גְּ֝מוּלֵ֗ךְ<h><H> <h>,1576,גמל
57822,413932,413933,〔11498｜14｜15｜7〕,<H>פְעֻלַּתְכֶֽם<h><H>׃ ס <h>,6468,פעל
57117,408362,408363,〔11259｜14｜4｜12〕,<H>עַמּוּדִ֖ים<h><H> <h>,5982,עמד
12543,91539,91540,〔4826｜4｜34｜9〕,<H>גְּבֻל֙<h><H> <h>,1366,גבל
